schemaname,tablename,indexname,indexdef
public,landlord_leads,landlord_leads_pkey,CREATE UNIQUE INDEX landlord_leads_pkey ON public.landlord_leads USING btree (id)
public,landlords,idx_landlords_agent,CREATE INDEX idx_landlords_agent ON public.landlords USING btree (managed_by_agent_id) WHERE (managed_by_agent_id IS NOT NULL)
public,landlords,idx_landlords_tenant,CREATE INDEX idx_landlords_tenant ON public.landlords USING btree (tenant_id) WHERE (tenant_id IS NOT NULL)
public,landlords,idx_landlords_tenant_id,CREATE INDEX idx_landlords_tenant_id ON public.landlords USING btree (tenant_id)
public,landlords,landlords_pkey,CREATE UNIQUE INDEX landlords_pkey ON public.landlords USING btree (id)
public,lc1_chairpersons,lc1_chairpersons_pkey,CREATE UNIQUE INDEX lc1_chairpersons_pkey ON public.lc1_chairpersons USING btree (id)
public,leave_balances,leave_balances_employee_id_leave_type_year_key,"CREATE UNIQUE INDEX leave_balances_employee_id_leave_type_year_key ON public.leave_balances USING btree (employee_id, leave_type, year)"
public,leave_balances,leave_balances_pkey,CREATE UNIQUE INDEX leave_balances_pkey ON public.leave_balances USING btree (id)
public,leave_requests,leave_requests_pkey,CREATE UNIQUE INDEX leave_requests_pkey ON public.leave_requests USING btree (id)
public,ledger_account_groups,ledger_account_groups_group_code_key,CREATE UNIQUE INDEX ledger_account_groups_group_code_key ON public.ledger_account_groups USING btree (group_code)
public,ledger_account_groups,ledger_account_groups_pkey,CREATE UNIQUE INDEX ledger_account_groups_pkey ON public.ledger_account_groups USING btree (group_id)
public,ledger_accounts,ledger_accounts_account_code_owner_id_key,"CREATE UNIQUE INDEX ledger_accounts_account_code_owner_id_key ON public.ledger_accounts USING btree (account_code, owner_id)"
public,ledger_accounts,ledger_accounts_pkey,CREATE UNIQUE INDEX ledger_accounts_pkey ON public.ledger_accounts USING btree (account_id)
public,ledger_entries,ledger_entries_pkey,CREATE UNIQUE INDEX ledger_entries_pkey ON public.ledger_entries USING btree (entry_id)
public,ledger_transactions,ledger_transactions_pkey,CREATE UNIQUE INDEX ledger_transactions_pkey ON public.ledger_transactions USING btree (transaction_id)
public,liquidity_alerts,idx_liquidity_alerts_agent,"CREATE INDEX idx_liquidity_alerts_agent ON public.liquidity_alerts USING btree (agent_id, resolved, created_at DESC)"
public,liquidity_alerts,liquidity_alerts_pkey,CREATE UNIQUE INDEX liquidity_alerts_pkey ON public.liquidity_alerts USING btree (id)
public,listing_bonus_approvals,idx_listing_bonus_approvals_agent,CREATE INDEX idx_listing_bonus_approvals_agent ON public.listing_bonus_approvals USING btree (agent_id)
public,listing_bonus_approvals,idx_listing_bonus_approvals_listing,CREATE UNIQUE INDEX idx_listing_bonus_approvals_listing ON public.listing_bonus_approvals USING btree (listing_id)
public,listing_bonus_approvals,idx_listing_bonus_approvals_status,CREATE INDEX idx_listing_bonus_approvals_status ON public.listing_bonus_approvals USING btree (status)
public,listing_bonus_approvals,listing_bonus_approvals_pkey,CREATE UNIQUE INDEX listing_bonus_approvals_pkey ON public.listing_bonus_approvals USING btree (id)
public,loan_applications,loan_applications_pkey,CREATE UNIQUE INDEX loan_applications_pkey ON public.loan_applications USING btree (id)
public,location_requests,location_requests_pkey,CREATE UNIQUE INDEX location_requests_pkey ON public.location_requests USING btree (id)
public,location_requests,location_requests_token_key,CREATE UNIQUE INDEX location_requests_token_key ON public.location_requests USING btree (token)
public,messages,idx_messages_conversation,"CREATE INDEX idx_messages_conversation ON public.messages USING btree (conversation_id, created_at DESC)"
public,messages,idx_messages_conversation_id,CREATE INDEX idx_messages_conversation_id ON public.messages USING btree (conversation_id)
public,messages,idx_messages_created_at,CREATE INDEX idx_messages_created_at ON public.messages USING btree (created_at DESC)
public,messages,messages_pkey,CREATE UNIQUE INDEX messages_pkey ON public.messages USING btree (id)
public,money_requests,money_requests_pkey,CREATE UNIQUE INDEX money_requests_pkey ON public.money_requests USING btree (id)
public,notifications,idx_notifications_is_read,"CREATE INDEX idx_notifications_is_read ON public.notifications USING btree (user_id, is_read)"
public,notifications,idx_notifications_user_id,CREATE INDEX idx_notifications_user_id ON public.notifications USING btree (user_id)
public,notifications,idx_notifications_user_read,"CREATE INDEX idx_notifications_user_read ON public.notifications USING btree (user_id, is_read, created_at DESC)"
public,notifications,notifications_pkey,CREATE UNIQUE INDEX notifications_pkey ON public.notifications USING btree (id)
public,onboarding_targets,onboarding_targets_pkey,CREATE UNIQUE INDEX onboarding_targets_pkey ON public.onboarding_targets USING btree (id)
