id,parent_agent_id,sub_agent_id,created_at,source,status,verified_by,verified_at,rejection_reason
b15fcffd-95b7-472e-920c-6de01ae446c8,675d70c6-2f67-492a-ac29-0b11d57b52ca,e3b99a15-627b-4334-8115-fe4119a1c401,2026-01-29 12:26:09.00786+00,invite,verified,,,
2b1dc963-7499-4a9a-9027-64da13f85b34,99890a2e-b842-4d44-8516-e2eafe0711ff,db058444-bdf9-4e0a-8040-18fa5c3e1082,2026-01-29 12:28:17.62707+00,invite,verified,,,
75681e64-f880-4ddb-9d38-e97c69173dfe,9b9e3213-aee7-44e0-8b35-88849ff5d095,a5c3d6e5-e30d-4b39-b4db-597307cef1e7,2026-01-29 15:47:43.54262+00,invite,verified,,,
24549cc2-85a4-4693-b205-e1e2bbd12903,675d70c6-2f67-492a-ac29-0b11d57b52ca,4f400c51-354a-46ef-a75b-363ecb9d3a84,2026-01-29 16:30:05.863369+00,invite,verified,,,
70a6d466-2a8b-439e-b3a4-f2c46e6ddf74,675d70c6-2f67-492a-ac29-0b11d57b52ca,ef0564b5-e007-4a14-8098-356281cdb412,2026-01-29 16:39:47.934632+00,invite,verified,,,
960c5416-49c9-4b9a-9b76-ae39cd90ef86,675d70c6-2f67-492a-ac29-0b11d57b52ca,d251c73e-8ceb-49ba-92bd-ede4b6ff7347,2026-01-29 17:20:09.983981+00,invite,verified,,,
dd790658-37a0-4788-8e96-b28e409fc91b,675d70c6-2f67-492a-ac29-0b11d57b52ca,ca75e799-c809-4015-8c23-81c93cc0021c,2026-01-29 18:44:38.074652+00,invite,verified,,,
0f03c48b-f40d-43f3-99c0-448935cf7216,99890a2e-b842-4d44-8516-e2eafe0711ff,24582282-adc0-41e7-9de4-edc2dfed18a2,2026-01-29 18:54:15.082517+00,link,verified,,,
9e7ca902-488b-4db3-a1d3-e4ba2ae23713,ca75e799-c809-4015-8c23-81c93cc0021c,db66bc78-dfea-43f3-971b-6407cf3db0ab,2026-01-29 18:58:17.338365+00,invite,verified,,,
7f1cba44-00f3-474a-8e30-b41a6fa11bee,99890a2e-b842-4d44-8516-e2eafe0711ff,04fd4dfc-3e1f-4c41-bdd5-1859ac04919c,2026-01-30 05:39:10.575324+00,invite,verified,,,
35dd2e1a-e1d9-4b9b-bc31-ab6263d32049,99890a2e-b842-4d44-8516-e2eafe0711ff,90754e6f-620c-40e0-bf52-3f7a0b2452a1,2026-01-30 10:11:00.817471+00,invite,verified,,,
4f7ec826-d2b5-484a-8a9b-31f32efcb346,04a3d127-5b7d-4301-a7af-e976adba4662,2cbb038a-1cbf-4fa0-aa15-c9b9e08f455a,2026-01-30 13:50:48.868102+00,invite,verified,,,
1feef930-8a2c-4658-9b69-7886200765cb,b06de749-e88d-4b31-a0d7-776c61d1ea0e,c0e93cbf-d6d6-4039-a23f-874344c74417,2026-01-30 17:07:19.481551+00,invite,verified,,,
4b8e6250-0987-410b-9243-a9495005cb34,99890a2e-b842-4d44-8516-e2eafe0711ff,a7c70db9-a554-4f23-aef3-1e30a1d39fa4,2026-01-30 18:48:41.742204+00,invite,verified,,,
efab559e-ba6f-4cea-a5b3-e5d586eebcac,99890a2e-b842-4d44-8516-e2eafe0711ff,2589555a-4db7-439e-91fb-fd72bfa07ea4,2026-01-30 21:26:53.760885+00,invite,verified,,,
7368dd8b-64a6-401c-b7dd-6bda3f81972c,99890a2e-b842-4d44-8516-e2eafe0711ff,88ffe7c8-7d69-4007-8eb7-1d01fc6dc69b,2026-01-30 21:48:04.853072+00,invite,verified,,,
9cce731c-9db0-494b-8d48-ff147fb5b24f,04a3d127-5b7d-4301-a7af-e976adba4662,d4ff5da5-a833-4a53-91fc-de5ffb17a3b8,2026-01-31 06:37:47.156468+00,invite,verified,,,
a92427b1-79fc-4cf8-aea3-90a6cce6498b,5aeb24c8-c4b0-42b8-a2de-93ac00106bea,4164ef8f-533c-4f14-9611-9df5babc0240,2026-01-31 06:39:17.594839+00,link,verified,,,
f2f3fb3e-3be8-4e66-a89a-506dafbe7ccd,675d70c6-2f67-492a-ac29-0b11d57b52ca,ccff097f-4bf0-4138-a52e-d9ebe604b189,2026-01-31 10:08:12.106391+00,invite,verified,,,
4a00de2b-dfc9-422b-8a8e-401d9974fa16,63ca82b2-6e37-46d0-ab0a-abde2aa84721,8bdbd27c-5e88-496b-be37-bff4ae4033f4,2026-01-31 10:43:30.86617+00,invite,verified,,,
